event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	1	1789678764720433152
31	0	1	1	1789678764720433152
32	0	2	1	1789678764720433152
33	0	3	1	1789678764720433152
34	1	4294967295	32	1789678764720441344
35	2	4294967295	16	1789678764720441344
36	3	4294967295	16	1789678764720441344
37	4	0	1	1789678764720444416
38	4	1	1	1789678764720444416
39	4	2	1	1789678764720444416
40	4	3	1	1789678764720444416
41	4	4	1	1789678764720444416
42	4	5	1	1789678764720444416
43	4	6	1	1789678764720444416
44	4	7	1	1789678764720444416
45	4	8	1	1789678764720444416
46	4	9	1	1789678764720444416
47	4	10	1	1789678764720444416
48	4	11	1	1789678764720444416
49	4	12	1	1789678764720444416
50	4	13	1	1789678764720444416
51	4	14	1	1789678764720444416
52	4	15	1	1789678764720444416
53	5	0	1	1789678764720444416
54	5	1	1	1789678764720444416
55	5	2	1	1789678764720444416
56	5	3	1	1789678764720444416
57	5	4	1	1789678764720444416
58	5	5	1	1789678764720444416
59	5	6	1	1789678764720444416
60	5	7	1	1789678764720444416
61	6	4294967295	8	1789678764720446464
62	7	4294967295	8	1789678764720443392
63	8	0	1	1789678764720452608
64	8	1	1	1789678764720452608
65	8	2	1	1789678764720451584
66	8	3	1	1789678764720451584
67	8	4	1	1789678764720451584
68	8	5	1	1789678764720452608
69	8	6	1	1789678764720451584
70	8	7	1	1789678764720451584
71	8	8	1	1789678764720451584
72	8	9	1	1789678764720450560
73	8	10	1	1789678764720450560
74	8	11	1	1789678764720451584
75	8	12	1	1789678764720450560
76	8	13	1	1789678764720450560
77	8	14	1	1789678764720450560
78	8	15	1	1789678764720450560
79	9	0	1	1789678764720460800
80	9	1	1	1789678764720460800
81	9	2	1	1789678764720459776
82	9	3	1	1789678764720459776
83	9	4	1	1789678764720459776
84	9	5	1	1789678764720460800
85	9	6	1	1789678764720460800
86	9	7	1	1789678764720459776
87	9	8	1	1789678764720459776
88	9	9	1	1789678764720459776
89	9	10	1	1789678764720459776
90	9	11	1	1789678764720459776
91	9	12	1	1789678764720459776
92	9	13	1	1789678764720459776
93	9	14	1	1789678764720459776
94	9	15	1	1789678764720459776
95	9	16	1	1789678764720459776
96	9	17	1	1789678764720459776
97	9	18	1	1789678764720459776
98	9	19	1	1789678764720459776
99	9	20	1	1789678764720459776
100	9	21	1	1789678764720459776
101	9	22	1	1789678764720459776
102	9	23	1	1789678764720459776
103	9	24	1	1789678764720459776
104	9	25	1	1789678764720459776
105	9	26	1	1789678764720459776
106	9	27	1	1789678764720459776
107	9	28	1	1789678764720459776
108	9	29	1	1789678764720459776
109	9	30	1	1789678764720459776
110	9	31	1	1789678764720459776
111	10	0	1	1789678764720464896
112	10	1	1	1789678764720464896
113	10	2	1	1789678764720464896
114	10	3	1	1789678764720464896
115	11	0	1	1789678764720473088
116	11	1	1	1789678764720473088
117	11	2	1	1789678764720473088
118	11	3	1	1789678764720473088
119	11	4	1	1789678764720473088
120	11	5	1	1789678764720472064
121	11	6	1	1789678764720473088
122	11	7	1	1789678764720472064
123	11	8	1	1789678764720472064
124	11	9	1	1789678764720472064
125	11	10	1	1789678764720473088
126	11	11	1	1789678764720472064
127	11	12	1	1789678764720473088
128	11	13	1	1789678764720472064
129	11	14	1	1789678764720472064
130	11	15	1	1789678764720472064
131	11	16	1	1789678764720473088
132	11	17	1	1789678764720472064
133	11	18	1	1789678764720472064
134	11	19	1	1789678764720472064
