event_index	stage	group	fanin	publish_ns
0	0	4294967295	0	0
1	1	4294967295	0	0
2	2	4294967295	0	0
3	3	4294967295	0	0
4	4	4294967295	0	0
5	5	4294967295	0	0
6	6	4294967295	0	0
7	7	4294967295	0	0
8	8	4294967295	0	0
9	9	4294967295	0	0
10	10	4294967295	0	0
11	11	4294967295	0	0
12	12	4294967295	0	0
13	13	4294967295	0	0
14	14	4294967295	0	0
15	15	4294967295	0	0
16	16	4294967295	0	0
17	17	4294967295	0	0
18	18	4294967295	0	0
19	19	4294967295	0	0
20	20	4294967295	0	0
21	21	4294967295	0	0
22	22	4294967295	0	0
23	23	4294967295	0	0
24	24	4294967295	0	0
25	25	4294967295	0	0
26	26	4294967295	0	0
27	27	4294967295	0	0
28	28	4294967295	0	0
29	29	4294967295	0	0
30	0	0	1	1789439536843559936
31	0	1	1	1789439536843558912
32	0	2	1	1789439536843558912
33	0	3	1	1789439536843558912
34	1	4294967295	4	1789439536843583488
35	2	4294967295	2	1789439536843583488
36	3	4294967295	2	1789439536843582464
37	4	0	1	1789439536843587584
38	4	1	1	1789439536843586560
39	4	2	1	1789439536843587584
40	4	3	1	1789439536843586560
41	4	4	1	1789439536843586560
42	4	5	1	1789439536843587584
43	4	6	1	1789439536843587584
44	4	7	1	1789439536843587584
45	4	8	1	1789439536843587584
46	4	9	1	1789439536843586560
47	4	10	1	1789439536843587584
48	4	11	1	1789439536843587584
49	4	12	1	1789439536843587584
50	4	13	1	1789439536843587584
51	4	14	1	1789439536843587584
52	4	15	1	1789439536843587584
53	5	0	1	1789439536843588608
54	5	1	1	1789439536843587584
55	5	2	1	1789439536843587584
56	5	3	1	1789439536843587584
57	5	4	1	1789439536843587584
58	5	5	1	1789439536843587584
59	5	6	1	1789439536843587584
60	5	7	1	1789439536843586560
61	6	4294967295	8	1789439536843591680
62	7	4294967295	8	1789439536843586560
63	8	0	1	1789439536843598848
64	8	1	1	1789439536843597824
65	8	2	1	1789439536843598848
66	8	3	1	1789439536843598848
67	8	4	1	1789439536843598848
68	8	5	1	1789439536843598848
69	8	6	1	1789439536843597824
70	8	7	1	1789439536843598848
71	8	8	1	1789439536843597824
72	8	9	1	1789439536843596800
73	8	10	1	1789439536843597824
74	8	11	1	1789439536843597824
75	8	12	1	1789439536843597824
76	8	13	1	1789439536843597824
77	8	14	1	1789439536843597824
78	8	15	1	1789439536843597824
79	9	0	1	1789439536843625472
80	9	1	1	1789439536843624448
81	9	2	1	1789439536843625472
82	9	3	1	1789439536843625472
83	10	0	1	1789439536843630592
84	10	1	1	1789439536843629568
85	10	2	1	1789439536843630592
86	10	3	1	1789439536843629568
87	11	0	1	1789439536843655168
88	11	1	1	1789439536843654144
89	11	2	1	1789439536843655168
90	11	3	1	1789439536843655168
91	11	4	1	1789439536843654144
92	11	5	1	1789439536843654144
93	11	6	1	1789439536843654144
94	11	7	1	1789439536843654144
95	12	0	1	1789439536843654144
96	12	1	1	1789439536843654144
97	12	2	1	1789439536843654144
98	12	3	1	1789439536843654144
99	12	4	1	1789439536843654144
100	12	5	1	1789439536843654144
101	12	6	1	1789439536843654144
102	12	7	1	1789439536843654144
103	13	0	1	1789439536843662336
104	13	1	1	1789439536843661312
105	13	2	1	1789439536843661312
106	13	3	1	1789439536843660288
107	14	0	1	1789439536843706368
108	14	1	1	1789439536843706368
109	14	2	1	1789439536843706368
110	14	3	1	1789439536843706368
111	15	0	1	1789439536843712512
112	15	1	1	1789439536843711488
113	15	2	1	1789439536843711488
114	15	3	1	1789439536843711488
115	16	4294967295	4	1789439536843736064
116	17	4294967295	2	1789439536843736064
117	18	4294967295	2	1789439536843735040
118	19	0	1	1789439536843740160
119	19	1	1	1789439536843739136
120	19	2	1	1789439536843739136
121	19	3	1	1789439536843740160
122	19	4	1	1789439536843739136
123	19	5	1	1789439536843739136
124	19	6	1	1789439536843740160
125	19	7	1	1789439536843740160
126	19	8	1	1789439536843740160
127	19	9	1	1789439536843739136
128	19	10	1	1789439536843739136
129	19	11	1	1789439536843739136
130	19	12	1	1789439536843740160
131	19	13	1	1789439536843740160
132	19	14	1	1789439536843740160
133	19	15	1	1789439536843740160
134	20	0	1	1789439536843740160
